,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor,Discount,Price Range,Product Category,Revenue
51,58,98,Shiseido 資生堂,AA13103540001,UNO Skincare Tank For Men #Oil Control 160ml [Parallel Import] (4901872449729),2-day group shipment,5.0,Shiseido 資生堂 - UNO Skincare Tank For Men #Oil Control 160ml [Parallel Import] (4901872449729),1.0,100.0,Royal Cosmetics,40,0-100,Others,5800.0
52,239,398,LAB SERIES,AA16107520001,Lab Series All In One Face Treatment (Tube)  -[Parallel Import Product],2-day group shipment,3.8,LAB SERIES - Lab Series All In One Face Treatment (Tube)  -[Parallel Import Product],4.0,300.0,Beautique,159,201-300,Moisturizer,71700.0
53,215,335,AHC,AA16107510001,Homme Only For Man Skin Care Set 3 items,2-day group shipment,,AHC - Homme Only For Man Skin Care Set 3 items,,20.0,NANA MALL,120,201-300,Cleanser,4300.0
54,748,1080,Sulwhasoo 雪花秀,AA16107520001,Men Inner Charging Serum Skin Reinforcing Emulsion Set [Parallel Import Product],2-day group shipment,5.0,Sulwhasoo 雪花秀 - Men Inner Charging Serum Skin Reinforcing Emulsion Set [Parallel Import Product],5.0,60.0,KINGSWAY BEAUTY,332,701-800,Moisturizer,44880.0
55,130,186,Mario Badescu,AA16107530001,Peppermint Shaving Cream  -[Parallel Import Product],2-day group shipment,,Mario Badescu - Peppermint Shaving Cream  -[Parallel Import Product],,,Beautique,56,101-200,After Shave Care,
56,445,649,Biotherm,AA16107520001,Aquapower Homme Set(Aquapower Freshing Cleanser 125ml + Aquapower Cooling Fresh Gel 75ml),2-day group shipment,,Biotherm - Aquapower Homme Set(Aquapower Freshing Cleanser 125ml + Aquapower Cooling Fresh Gel 75ml),,10.0,NANA MALL,204,401-500,Moisturizer,4450.0
57,63,79,L'Oreal Paris,AA16107520001,MEX PM ICY CHARCOAL BLACK FOAM 100ML*025556,2-day group shipment,5.0,L'Oreal Paris - MEX PM ICY CHARCOAL BLACK FOAM 100ML*025556,1.0,90.0,L’Oreal Paris HK Flagship Store,16,0-100,Moisturizer,5670.0
58,1480,2280,SK-II,AA16107520001,SK2 MEN FACIAL TREATMENT ESSENCE 230ml [Parallel Import Product],2-day group shipment,3.0,SK-II - SK2 MEN FACIAL TREATMENT ESSENCE 230ml [Parallel Import Product],1.0,20.0,KINGSWAY BEAUTY,800,>1000,Moisturizer,29600.0
59,350,500,LAB SERIES,AA16107520001,MAX LS Skin Recharging Water Lotion 200ml [Parallel Import Product],2-day group shipment,,LAB SERIES - MAX LS Skin Recharging Water Lotion 200ml [Parallel Import Product],,20.0,KINGSWAY BEAUTY,150,301-400,Moisturizer,7000.0
60,250,376,Shiseido,AA16107520001,Men Hydro Master Gel  -[Parallel Import Product],2-day group shipment,4.2,Shiseido - Men Hydro Master Gel  -[Parallel Import Product],5.0,200.0,Beautique,126,201-300,Moisturizer,50000.0
61,458,665,LAB SERIES,AA16107520001,FUTURE RESCUE REPAIR SERUM 50ml [Parallel Import Product],2-day group shipment,,LAB SERIES - FUTURE RESCUE REPAIR SERUM 50ml [Parallel Import Product],,10.0,KINGSWAY BEAUTY,207,401-500,Moisturizer,4580.0
62,647,1125,Christian Dior,AA16107520001,Homme Dermo System Age Control Firming Care  -[Parallel Import Product],2-day group shipment,,Christian Dior - Homme Dermo System Age Control Firming Care  -[Parallel Import Product],,40.0,Beautique,478,601-700,Moisturizer,25880.0
63,228,362,Fancl,AA16107520001,Hydrating 60ml,2-day group shipment,,Fancl - Men All in one Skin Conditioner II - Hydrating 60ml,,10.0,NANA MALL,134,201-300,Moisturizer,2280.0
64,223,432,Biotherm,AA16107510001,Homme Facial Exfoliator  -[Parallel Import Product],2-day group shipment,,Biotherm - Homme Facial Exfoliator  -[Parallel Import Product],,100.0,Beautique,209,201-300,Cleanser,22300.0
65,99,158,L'Oreal Paris,AA16107510001,MEN EXPERT Black Foam & Scrub Packset*312764,2-day group shipment,5.0,L'Oreal Paris - MEN EXPERT Black Foam & Scrub Packset*312764,1.0,60.0,L’Oreal Paris HK Flagship Store,59,0-100,Cleanser,5940.0
66,450,580,Melvita,AA16102010201,NECTAR BLANC SET,2-day group shipment,5.0,Melvita - NECTAR BLANC SET,1.0,,Melvita - French Organic Beauty Care,130,401-500,Others,
67,55,580,Naturalland,AA16107520001,Aloe Vera Gel (USA),2-day group shipment,4.0,Naturalland - Aloe Vera Gel (USA),1.0,20.0,Naturalland,525,0-100,Moisturizer,1100.0
68,129,580,Mentholatum for Men,AA16107520001,HY Aqua Fresh Lotion,immediate shipment,,Mentholatum for Men - HY Aqua Fresh Lotion,,60.0,Mentholatum,451,101-200,Moisturizer,7740.0
69,150,580,Amazhim,,Mild,2-day group shipment,,Amazhim - Rescue Male Hygiene Cleanser - Mild,,40.0,GREEN RECIPE,430,101-200,Others,6000.0
70,57,84,Mentholatum for Men,AA16107510001,OC Anti-Blackhead Clay Wash,immediate shipment,,Mentholatum for Men - OC Anti-Blackhead Clay Wash,,40.0,Mentholatum,27,0-100,Cleanser,2280.0
